id,firstname,lastname,email,company,nbr_commandes,total,identifié_compagnie,ID_ext
64,Prenom_64,Nom_64,client_64@example.com,,1,2559.35,oui,
65,Prenom_65,Nom_65,client_65@example.com,,1,2500.0,oui,
66,Prenom_66,Nom_66,client_66@example.com,,10,2498.05,oui,
67,Prenom_67,Nom_67,client_67@example.com,,6,2491.1,oui,
68,Prenom_68,Nom_68,client_68@example.com,,1,2482.0,oui,
69,Prenom_69,Nom_69,client_69@example.com,,5,2481.4500000000003,oui,
70,Prenom_70,Nom_70,client_70@example.com,,1,2479.0,oui,
71,Prenom_71,Nom_71,client_71@example.com,,4,2464.0,oui,
72,Prenom_72,Nom_72,client_72@example.com,,3,2455.7,oui,
73,Prenom_73,Nom_73,client_73@example.com,,1,2415.0,oui,
74,Prenom_74,Nom_74,client_74@example.com,,1,2405.5,oui,
75,Prenom_75,Nom_75,client_75@example.com,,1,2377.6,oui,
76,Prenom_76,Nom_76,client_76@example.com,,7,2352.84,non,
77,Prenom_77,Nom_77,client_77@example.com,,1,2328.12,non,
78,Prenom_78,Nom_78,client_78@example.com,,3,2327.98,oui,
79,Prenom_79,Nom_79,client_79@example.com,Entreprise_7,3,2320.0,oui,
80,Prenom_80,Nom_80,client_80@example.com,Entreprise_8,12,2307.68,oui,
81,Prenom_81,Nom_81,client_81@example.com,Entreprise_9,2,2295.24,oui,
82,Prenom_82,Nom_82,client_82@example.com,,1,2269.42,oui,
83,Prenom_83,Nom_83,client_83@example.com,,12,2251.09,oui,
84,Prenom_84,Nom_84,client_84@example.com,,7,2246.34,oui,
85,Prenom_85,Nom_85,client_85@example.com,,10,2222.155,oui,
86,Prenom_86,Nom_86,client_86@example.com,Entreprise_10,4,2188.6,oui,
87,Prenom_87,Nom_87,client_87@example.com,,2,2147.22,oui,
88,Prenom_88,Nom_88,client_88@example.com,,5,2136.32,oui,
89,Prenom_89,Nom_89,client_89@example.com,,3,2101.33,oui,
90,Prenom_90,Nom_90,client_90@example.com,,3,2096.5,oui,
91,Prenom_91,Nom_91,client_91@example.com,,1,2086.7,oui,
92,Prenom_92,Nom_92,client_92@example.com,,1,2074.25,oui,
93,Prenom_93,Nom_93,client_93@example.com,,5,2034.3,oui,
94,Prenom_94,Nom_94,client_94@example.com,,2,1996.0,oui,
95,Prenom_95,Nom_95,client_95@example.com,,10,1988.85,oui,
96,Prenom_96,Nom_96,client_96@example.com,,1,1975.5,oui,
97,Prenom_97,Nom_97,client_97@example.com,,6,1941.0,oui,
98,Prenom_98,Nom_98,client_98@example.com,,1,1932.0,oui,
99,Prenom_99,Nom_99,client_99@example.com,,3,1925.0,oui,
100,Prenom_100,Nom_100,client_100@example.com,,2,1897.35,oui,
101,Prenom_101,Nom_101,client_101@example.com,,2,1893.6,oui,
102,Prenom_102,Nom_102,client_102@example.com,,1,1865.9,non,
103,Prenom_103,Nom_103,client_103@example.com,Entreprise_11,4,1865.33,oui,
104,Prenom_104,Nom_104,client_104@example.com,,1,1864.05,oui,
105,Prenom_105,Nom_105,client_105@example.com,,5,1838.35,oui,
106,Prenom_106,Nom_106,client_106@example.com,,3,1807.0,oui,
107,Prenom_107,Nom_107,client_107@example.com,,6,1799.37,non,
108,Prenom_108,Nom_108,client_108@example.com,,1,1766.51,oui,
109,Prenom_109,Nom_109,client_109@example.com,,2,1766.0,oui,
110,Prenom_110,Nom_110,client_110@example.com,,1,1746.5,non,
111,Prenom_111,Nom_111,client_111@example.com,Entreprise_12,2,1738.85,oui,
112,Prenom_112,Nom_112,client_112@example.com,,4,1728.15,oui,
113,Prenom_113,Nom_113,client_113@example.com,,3,1723.95,non,
114,Prenom_114,Nom_114,client_114@example.com,,1,1703.8,non,
115,Prenom_115,Nom_115,client_115@example.com,,4,1674.83,oui,
116,Prenom_116,Nom_116,client_116@example.com,,1,1674.7,oui,
117,Prenom_117,Nom_117,client_117@example.com,,8,1662.5,oui,
118,Prenom_118,Nom_118,client_118@example.com,,1,1658.48,non,
119,Prenom_119,Nom_119,client_119@example.com,Entreprise_13,4,1653.7,oui,
120,Prenom_120,Nom_120,client_120@example.com,,1,1650.0,oui,
121,Prenom_121,Nom_121,client_121@example.com,,7,1643.44,oui,
122,Prenom_122,Nom_122,client_122@example.com,,7,1642.19,oui,
123,Prenom_123,Nom_123,client_123@example.com,,1,1640.0,non,
124,Prenom_124,Nom_124,client_124@example.com,Entreprise_14,1,1639.35,oui,
125,Prenom_125,Nom_125,client_125@example.com,,1,1626.0,oui,
126,Prenom_126,Nom_126,client_126@example.com,,2,1624.24,oui,
127,Prenom_127,Nom_127,client_127@example.com,,1,1620.0,oui,
128,Prenom_128,Nom_128,client_128@example.com,,1,1618.01,oui,
129,Prenom_129,Nom_129,client_129@example.com,,10,1614.89,oui,
130,Prenom_130,Nom_130,client_130@example.com,,1,1613.09,non,
131,Prenom_131,Nom_131,client_131@example.com,,3,1595.5800000000002,oui,
132,Prenom_132,Nom_132,client_132@example.com,,7,1595.48,oui,
133,Prenom_133,Nom_133,client_133@example.com,,5,1590.63,oui,
134,Prenom_134,Nom_134,client_134@example.com,,6,1576.56,oui,
135,Prenom_135,Nom_135,client_135@example.com,,2,1572.25,non,
136,Prenom_136,Nom_136,client_136@example.com,,8,1568.67,oui,
137,Prenom_137,Nom_137,client_137@example.com,,2,1547.37,oui,
138,Prenom_138,Nom_138,client_138@example.com,,11,1542.75,oui,
139,Prenom_139,Nom_139,client_139@example.com,,5,1540.31,oui,
140,Prenom_140,Nom_140,client_140@example.com,,1,1537.47,non,
141,Prenom_141,Nom_141,client_141@example.com,,3,1535.8,oui,
142,Prenom_142,Nom_142,client_142@example.com,,3,1525.5,oui,
143,Prenom_143,Nom_143,client_143@example.com,,1,1525.21,oui,
144,Prenom_144,Nom_144,client_144@example.com,,1,1520.7,oui,
145,Prenom_145,Nom_145,client_145@example.com,,1,1517.31,non,
146,Prenom_146,Nom_146,client_146@example.com,,4,1517.13,oui,
147,Prenom_147,Nom_147,client_147@example.com,,2,1507.99,oui,
148,Prenom_148,Nom_148,client_148@example.com,,1,1500.0,oui,
149,Prenom_149,Nom_149,client_149@example.com,,12,1489.06,oui,
150,Prenom_150,Nom_150,client_150@example.com,Entreprise_15,6,1482.38,oui,
151,Prenom_151,Nom_151,client_151@example.com,Entreprise_16,5,1476.5,oui,
152,Prenom_152,Nom_152,client_152@example.com,Entreprise_17,1,1472.0,oui,
153,Prenom_153,Nom_153,client_153@example.com,,2,1470.48,non,
154,Prenom_154,Nom_154,client_154@example.com,Entreprise_18,8,1469.97,oui,
155,Prenom_155,Nom_155,client_155@example.com,,1,1435.0,oui,
156,Prenom_156,Nom_156,client_156@example.com,,9,1430.25,non,
157,Prenom_157,Nom_157,client_157@example.com,,1,1407.08,non,
158,Prenom_158,Nom_158,client_158@example.com,,3,1405.1,oui,
159,Prenom_159,Nom_159,client_159@example.com,,2,1401.18,oui,
160,Prenom_160,Nom_160,client_160@example.com,,1,1396.5,non,
161,Prenom_161,Nom_161,client_161@example.com,,3,1392.74,oui,
162,Prenom_162,Nom_162,client_162@example.com,,2,1364.12,non,
163,Prenom_163,Nom_163,client_163@example.com,,1,1360.0,non,
164,Prenom_164,Nom_164,client_164@example.com,,2,1358.88,non,
165,Prenom_165,Nom_165,client_165@example.com,,13,1356.78,oui,
166,Prenom_166,Nom_166,client_166@example.com,,1,1351.8,non,
167,Prenom_167,Nom_167,client_167@example.com,,1,1350.0,non,
168,Prenom_168,Nom_168,client_168@example.com,,9,1342.84,non,
169,Prenom_169,Nom_169,client_169@example.com,,1,1335.6,non,
170,Prenom_170,Nom_170,client_170@example.com,,1,1329.0,oui,
171,Prenom_171,Nom_171,client_171@example.com,,8,1327.5,oui,
172,Prenom_172,Nom_172,client_172@example.com,,7,1324.02,oui,
173,Prenom_173,Nom_173,client_173@example.com,,4,1319.88,oui,
174,Prenom_174,Nom_174,client_174@example.com,,5,1318.81,oui,
175,Prenom_175,Nom_175,client_175@example.com,Entreprise_19,1,1311.26,oui,
176,Prenom_176,Nom_176,client_176@example.com,,5,1303.91,non,
177,Prenom_177,Nom_177,client_177@example.com,,1,1303.0,oui,
178,Prenom_178,Nom_178,client_178@example.com,,2,1302.04,non,
179,Prenom_179,Nom_179,client_179@example.com,,4,1299.76,oui,
180,Prenom_180,Nom_180,client_180@example.com,,1,1299.0,non,
181,Prenom_181,Nom_181,client_181@example.com,,2,1290.4,non,
182,Prenom_182,Nom_182,client_182@example.com,,2,1289.4,oui,
183,Prenom_183,Nom_183,client_183@example.com,,4,1283.84,oui,
184,Prenom_184,Nom_184,client_184@example.com,,3,1280.3,oui,
185,Prenom_185,Nom_185,client_185@example.com,,1,1280.25,non,
186,Prenom_186,Nom_186,client_186@example.com,,2,1279.25,oui,
187,Prenom_187,Nom_187,client_187@example.com,,2,1278.55,oui,
188,Prenom_188,Nom_188,client_188@example.com,,2,1264.0,oui,
189,Prenom_189,Nom_189,client_189@example.com,,4,1258.0,oui,
190,Prenom_190,Nom_190,client_190@example.com,Entreprise_20,3,1251.3,oui,
191,Prenom_191,Nom_191,client_191@example.com,,4,1245.91,oui,
192,Prenom_192,Nom_192,client_192@example.com,,2,1236.56,oui,
193,Prenom_193,Nom_193,client_193@example.com,,2,1235.16,non,
194,Prenom_194,Nom_194,client_194@example.com,Entreprise_21,4,1228.1699999999998,oui,
195,Prenom_195,Nom_195,client_195@example.com,,1,1224.0,oui,
196,Prenom_196,Nom_196,client_196@example.com,,1,1222.2,oui,
197,Prenom_197,Nom_197,client_197@example.com,,5,1218.27,oui,
198,Prenom_198,Nom_198,client_198@example.com,,1,1210.6,oui,
199,Prenom_199,Nom_199,client_199@example.com,,1,1208.4,oui,
200,Prenom_200,Nom_200,client_200@example.com,,4,1203.04,oui,
201,Prenom_201,Nom_201,client_201@example.com,,4,1200.92,oui,
202,Prenom_202,Nom_202,client_202@example.com,,1,1188.05,oui,
203,Prenom_203,Nom_203,client_203@example.com,,1,1185.73,oui,
204,Prenom_204,Nom_204,client_204@example.com,,3,1171.8,oui,
205,Prenom_205,Nom_205,client_205@example.com,Entreprise_22,8,1167.2,oui,
206,Prenom_206,Nom_206,client_206@example.com,,1,1166.67,non,
207,Prenom_207,Nom_207,client_207@example.com,,1,1165.21,oui,
208,Prenom_208,Nom_208,client_208@example.com,,2,1164.16,oui,
209,Prenom_209,Nom_209,client_209@example.com,,2,1159.86,non,
210,Prenom_210,Nom_210,client_210@example.com,,1,1155.83,oui,
211,Prenom_211,Nom_211,client_211@example.com,,1,1155.0,oui,
212,Prenom_212,Nom_212,client_212@example.com,,1,1152.15,non,
213,Prenom_213,Nom_213,client_213@example.com,,1,1150.53,oui,
214,Prenom_214,Nom_214,client_214@example.com,Entreprise_23,2,1146.0,oui,
215,Prenom_215,Nom_215,client_215@example.com,,2,1142.67,oui,
216,Prenom_216,Nom_216,client_216@example.com,,1,1138.0,oui,
217,Prenom_217,Nom_217,client_217@example.com,Entreprise_24,1,1126.62,non,
218,Prenom_218,Nom_218,client_218@example.com,,3,1125.4325,non,
219,Prenom_219,Nom_219,client_219@example.com,,4,1120.93,non,
220,Prenom_220,Nom_220,client_220@example.com,,1,1112.65,oui,
221,Prenom_221,Nom_221,client_221@example.com,,1,1109.42,oui,
222,Prenom_222,Nom_222,client_222@example.com,,2,1107.26,oui,
223,Prenom_223,Nom_223,client_223@example.com,,4,1106.47,oui,
224,Prenom_224,Nom_224,client_224@example.com,,5,1106.17,oui,
225,Prenom_225,Nom_225,client_225@example.com,,2,1104.18,non,
226,Prenom_226,Nom_226,client_226@example.com,,2,1103.38,oui,
227,Prenom_227,Nom_227,client_227@example.com,,1,1103.31,oui,
228,Prenom_228,Nom_228,client_228@example.com,,1,1101.96,oui,
229,Prenom_229,Nom_229,client_229@example.com,,1,1100.0,oui,
230,Prenom_230,Nom_230,client_230@example.com,,2,1090.75,oui,
231,Prenom_231,Nom_231,client_231@example.com,,6,1089.3,non,
232,Prenom_232,Nom_232,client_232@example.com,,1,1086.16,oui,
233,Prenom_233,Nom_233,client_233@example.com,,3,1084.28,non,
234,Prenom_234,Nom_234,client_234@example.com,,3,1079.06,oui,
235,Prenom_235,Nom_235,client_235@example.com,,2,1078.97,non,
236,Prenom_236,Nom_236,client_236@example.com,,5,1078.83,oui,
237,Prenom_237,Nom_237,client_237@example.com,,2,1072.71,non,
238,Prenom_238,Nom_238,client_238@example.com,,1,1069.2,oui,
239,Prenom_239,Nom_239,client_239@example.com,,1,1069.1,oui,
240,Prenom_240,Nom_240,client_240@example.com,Entreprise_25,1,1062.97,oui,
241,Prenom_241,Nom_241,client_241@example.com,,1,1056.0,oui,
242,Prenom_242,Nom_242,client_242@example.com,,2,1048.86,oui,
243,Prenom_243,Nom_243,client_243@example.com,,2,1048.14,oui,
244,Prenom_244,Nom_244,client_244@example.com,,3,1043.3,oui,
245,Prenom_245,Nom_245,client_245@example.com,,1,1037.23,non,
246,Prenom_246,Nom_246,client_246@example.com,,1,1029.99,non,
247,Prenom_247,Nom_247,client_247@example.com,,1,1024.0,oui,
248,Prenom_248,Nom_248,client_248@example.com,,1,1021.95,non,
249,Prenom_249,Nom_249,client_249@example.com,,3,1021.45,oui,
250,Prenom_250,Nom_250,client_250@example.com,,3,1018.2,oui,
251,Prenom_251,Nom_251,client_251@example.com,,4,1009.91,oui,
252,Prenom_252,Nom_252,client_252@example.com,,1,1009.75,oui,
253,Prenom_253,Nom_253,client_253@example.com,,3,1008.97,oui,
254,Prenom_254,Nom_254,client_254@example.com,,4,1005.0,oui,
255,Prenom_255,Nom_255,client_255@example.com,,1,1004.09,oui,
256,Prenom_256,Nom_256,client_256@example.com,,3,1003.59,oui,
257,Prenom_257,Nom_257,client_257@example.com,,1,1003.39,non,
258,Prenom_258,Nom_258,client_258@example.com,,3,994.5,oui,
259,Prenom_259,Nom_259,client_259@example.com,,2,991.05,oui,
260,Prenom_260,Nom_260,client_260@example.com,,1,990.9,non,
261,Prenom_261,Nom_261,client_261@example.com,,1,990.0,oui,
262,Prenom_262,Nom_262,client_262@example.com,,2,985.8,oui,
263,Prenom_263,Nom_263,client_263@example.com,,1,984.19,non,
264,Prenom_264,Nom_264,client_264@example.com,,4,982.94,oui,
265,Prenom_265,Nom_265,client_265@example.com,,3,982.0,oui,
266,Prenom_266,Nom_266,client_266@example.com,,2,981.65,oui,
267,Prenom_267,Nom_267,client_267@example.com,,6,981.63,oui,
268,Prenom_268,Nom_268,client_268@example.com,,3,980.05,oui,
269,Prenom_269,Nom_269,client_269@example.com,,2,971.535,oui,
270,Prenom_270,Nom_270,client_270@example.com,,1,970.5,oui,
271,Prenom_271,Nom_271,client_271@example.com,,1,959.33,non,
272,Prenom_272,Nom_272,client_272@example.com,,2,954.15,oui,
273,Prenom_273,Nom_273,client_273@example.com,,3,950.97,non,
274,Prenom_274,Nom_274,client_274@example.com,,1,950.0,oui,
275,Prenom_275,Nom_275,client_275@example.com,,7,948.43,oui,
276,Prenom_276,Nom_276,client_276@example.com,,1,948.24,non,
277,Prenom_277,Nom_277,client_277@example.com,,2,947.822,oui,
278,Prenom_278,Nom_278,client_278@example.com,,1,946.05,oui,
279,Prenom_279,Nom_279,client_279@example.com,,1,940.65,oui,
280,Prenom_280,Nom_280,client_280@example.com,,2,938.5,oui,
281,Prenom_281,Nom_281,client_281@example.com,,1,931.35,non,
282,Prenom_282,Nom_282,client_282@example.com,,3,931.0,non,
283,Prenom_283,Nom_283,client_283@example.com,,1,930.4,non,
284,Prenom_284,Nom_284,client_284@example.com,,12,928.69,oui,
285,Prenom_285,Nom_285,client_285@example.com,,3,925.88,oui,
286,Prenom_286,Nom_286,client_286@example.com,,1,924.0,oui,
287,Prenom_287,Nom_287,client_287@example.com,,1,918.0,oui,
288,Prenom_288,Nom_288,client_288@example.com,,2,915.11,oui,
289,Prenom_289,Nom_289,client_289@example.com,,3,912.35,oui,
290,Prenom_290,Nom_290,client_290@example.com,,2,909.56,oui,
291,Prenom_291,Nom_291,client_291@example.com,,5,905.61,oui,
292,Prenom_292,Nom_292,client_292@example.com,,3,905.48,non,
293,Prenom_293,Nom_293,client_293@example.com,,2,900.6999999999999,oui,
294,Prenom_294,Nom_294,client_294@example.com,,1,900.58,oui,
295,Prenom_295,Nom_295,client_295@example.com,,3,900.37,oui,
296,Prenom_296,Nom_296,client_296@example.com,,2,900.15,oui,
297,Prenom_297,Nom_297,client_297@example.com,,1,900.0,oui,
298,Prenom_298,Nom_298,client_298@example.com,,2,898.5999999999999,non,
299,Prenom_299,Nom_299,client_299@example.com,,1,895.46,non,
300,Prenom_300,Nom_300,client_300@example.com,,2,894.02,non,
301,Prenom_301,Nom_301,client_301@example.com,,1,893.9,oui,
302,Prenom_302,Nom_302,client_302@example.com,,1,893.33,oui,
303,Prenom_303,Nom_303,client_303@example.com,,4,892.85,oui,
304,Prenom_304,Nom_304,client_304@example.com,Entreprise_26,2,887.83,oui,
305,Prenom_305,Nom_305,client_305@example.com,,1,886.9,oui,
306,Prenom_306,Nom_306,client_306@example.com,,1,884.7,non,
307,Prenom_307,Nom_307,client_307@example.com,,9,879.6800000000001,oui,
308,Prenom_308,Nom_308,client_308@example.com,,2,879.2,oui,
309,Prenom_309,Nom_309,client_309@example.com,,2,874.8,oui,
310,Prenom_310,Nom_310,client_310@example.com,,1,873.78,oui,
311,Prenom_311,Nom_311,client_311@example.com,,2,873.6300000000001,oui,
312,Prenom_312,Nom_312,client_312@example.com,,3,873.52,oui,
313,Prenom_313,Nom_313,client_313@example.com,,1,872.68,non,
314,Prenom_314,Nom_314,client_314@example.com,,6,867.02,oui,
315,Prenom_315,Nom_315,client_315@example.com,,1,866.81,oui,
316,Prenom_316,Nom_316,client_316@example.com,,1,862.03,non,
317,Prenom_317,Nom_317,client_317@example.com,,1,860.88,oui,
318,Prenom_318,Nom_318,client_318@example.com,,4,860.0,oui,
319,Prenom_319,Nom_319,client_319@example.com,Entreprise_27,3,858.98,oui,
320,Prenom_320,Nom_320,client_320@example.com,,1,858.43,oui,
321,Prenom_321,Nom_321,client_321@example.com,,5,847.22,oui,
322,Prenom_322,Nom_322,client_322@example.com,,1,846.55,oui,
323,Prenom_323,Nom_323,client_323@example.com,,1,846.5,non,
324,Prenom_324,Nom_324,client_324@example.com,,2,846.0699999999999,oui,
325,Prenom_325,Nom_325,client_325@example.com,,3,841.25,oui,
326,Prenom_326,Nom_326,client_326@example.com,,8,839.08,oui,
327,Prenom_327,Nom_327,client_327@example.com,,1,837.25,oui,
328,Prenom_328,Nom_328,client_328@example.com,,5,834.58,non,
329,Prenom_329,Nom_329,client_329@example.com,,1,833.76,oui,
330,Prenom_330,Nom_330,client_330@example.com,,2,833.5699999999999,oui,
331,Prenom_331,Nom_331,client_331@example.com,Entreprise_28,4,833.5,oui,
332,Prenom_332,Nom_332,client_332@example.com,,1,832.68,non,
333,Prenom_333,Nom_333,client_333@example.com,,1,828.75,oui,
334,Prenom_334,Nom_334,client_334@example.com,,4,824.71,non,
335,Prenom_335,Nom_335,client_335@example.com,,1,824.5,oui,
336,Prenom_336,Nom_336,client_336@example.com,Entreprise_29,4,822.0,oui,
337,Prenom_337,Nom_337,client_337@example.com,,1,821.59,oui,
338,Prenom_338,Nom_338,client_338@example.com,,1,820.25,oui,
339,Prenom_339,Nom_339,client_339@example.com,,3,817.45,oui,
340,Prenom_340,Nom_340,client_340@example.com,,1,817.25,oui,
341,Prenom_341,Nom_341,client_341@example.com,,5,817.16,oui,
342,Prenom_342,Nom_342,client_342@example.com,,1,815.0,oui,
343,Prenom_343,Nom_343,client_343@example.com,,6,813.36,non,
344,Prenom_344,Nom_344,client_344@example.com,,1,812.81,oui,
345,Prenom_345,Nom_345,client_345@example.com,,1,809.86,non,
346,Prenom_346,Nom_346,client_346@example.com,,1,809.2,oui,
347,Prenom_347,Nom_347,client_347@example.com,,1,809.0,non,
348,Prenom_348,Nom_348,client_348@example.com,,3,808.74,oui,
349,Prenom_349,Nom_349,client_349@example.com,,1,806.58,oui,
350,Prenom_350,Nom_350,client_350@example.com,,6,806.4200000000001,oui,
351,Prenom_351,Nom_351,client_351@example.com,,1,805.76,non,
352,Prenom_352,Nom_352,client_352@example.com,,1,805.0,non,
353,Prenom_353,Nom_353,client_353@example.com,,1,803.74,non,
354,Prenom_354,Nom_354,client_354@example.com,,1,802.4,oui,
